timestamp_seconds,datetime_utc,latitude,longitude,altitude_m_agl,altitude_m_msl,heading_deg,pitch_deg,roll_deg,gimbal_pitch_deg,ground_speed_mps
0,2026-04-15T14:00:00Z,38.273141,-89.792489,39.94,189.94,271.21,-0.19,-2.25,-44.67,10.28
1,2026-04-15T14:00:01Z,38.273141,-89.792604,40.06,190.06,271.21,1.75,0.98,-44.89,10.09
2,2026-04-15T14:00:02Z,38.273139,-89.792728,40.12,190.12,271.21,0.06,-0.16,-44.47,10.52
3,2026-04-15T14:00:03Z,38.273135,-89.792834,40.25,190.25,271.21,-0.36,0.56,-44.75,10.35
4,2026-04-15T14:00:04Z,38.273157,-89.792958,40.28,190.28,271.21,-3.93,-0.91,-45.92,9.39
5,2026-04-15T14:00:05Z,38.273159,-89.793052,39.39,189.39,271.21,-1.50,-0.13,-45.29,10.34
6,2026-04-15T14:00:06Z,38.273154,-89.793165,40.32,190.32,271.21,0.97,0.72,-45.63,10.14
7,2026-04-15T14:00:07Z,38.273149,-89.793294,40.25,190.25,271.21,3.50,-1.23,-46.10,9.90
8,2026-04-15T14:00:08Z,38.273164,-89.793387,40.25,190.25,271.21,2.14,-0.14,-46.42,10.33
9,2026-04-15T14:00:09Z,38.273154,-89.793507,39.28,189.28,271.21,0.38,-0.47,-44.28,10.01
10,2026-04-15T14:00:10Z,38.273166,-89.793606,40.31,190.31,271.21,-0.84,-1.25,-44.05,9.76
11,2026-04-15T14:00:11Z,38.273158,-89.793748,40.37,190.37,271.21,-0.44,-2.76,-46.08,9.71
12,2026-04-15T14:00:12Z,38.273160,-89.793857,40.60,190.60,271.21,0.39,0.25,-43.92,9.99
13,2026-04-15T14:00:13Z,38.273175,-89.793973,39.49,189.49,271.21,0.57,1.84,-45.03,10.36
14,2026-04-15T14:00:14Z,38.273186,-89.794094,40.80,190.80,271.21,-0.77,-1.69,-45.15,10.05
15,2026-04-15T14:00:15Z,38.273183,-89.794196,40.34,190.34,271.21,1.07,0.83,-45.55,9.05
16,2026-04-15T14:00:16Z,38.273167,-89.794319,40.86,190.86,271.21,-0.64,2.04,-45.45,9.58
17,2026-04-15T14:00:17Z,38.273171,-89.794433,39.38,189.38,271.21,-1.81,1.33,-45.00,10.09
18,2026-04-15T14:00:18Z,38.273197,-89.794545,40.68,190.68,271.21,-0.18,0.48,-43.25,9.48
19,2026-04-15T14:00:19Z,38.273163,-89.794652,40.30,190.30,271.21,1.07,0.08,-45.52,10.61
