finding_id,timestamp_seconds,gps_lat,gps_lon,altitude_m_agl,heading_deg,ground_speed_mps,class,component_type,condition,specific_defects,vegetation_distance_estimate_ft,severity,combined_confidence,marengo_score,pegasus_confidence,needs_human_review,nerc_citation,evidence_clip_path,discovery_source
f001,89.375,38.278688,-89.795984,39.81,357.7,10.11,vegetation_encroachment,vegetation,damaged,tall trees within right-of-way at conductor height,12,moderate,medium,0.1614433377981186,medium,False,,/clips/f001.mp4,anomaly_query
f002,100.625,38.279751,-89.796022,40.25,357.7,9.77,vegetation_encroachment,vegetation,damaged,tall trees within right-of-way at conductor height,12,moderate,medium,0.1395709067583084,medium,False,,/clips/f002.mp4,anomaly_query
f003,173.875,38.286326,-89.796351,39.32,357.7,9.59,insulator_damage,insulator_string,intact,,,no_action,medium,0.1663408875465393,high,False,,/clips/f003.mp4,anomaly_query
f004,202.875,38.288926,-89.796476,39.95,357.7,9.65,insulator_damage,insulator_string,intact,,,no_action,medium,0.17980210483074188,high,False,,/clips/f004.mp4,anomaly_query
f005,376.0,38.304465,-89.797275,40.1,357.69,9.01,vegetation_encroachment,vegetation,damaged,tall trees within right-of-way at conductor height,12,moderate,medium,0.13504008948802948,medium,False,,/clips/f005.mp4,anomaly_query
f006,404.125,38.307001,-89.797401,39.51,357.69,10.41,vegetation_encroachment,vegetation,damaged,tall trees within right-of-way at conductor height,12,moderate,medium,0.16546788811683655,medium,False,,/clips/f006.mp4,anomaly_query
f007,432.25,38.309511,-89.797541,40.28,357.69,10.57,vegetation_encroachment,vegetation,damaged,tall trees within right-of-way at conductor height,12,moderate,medium,0.16346000134944916,medium,False,,/clips/f007.mp4,anomaly_query
f008,615.125,38.325953,-89.798387,40.11,357.69,10.36,insulator_damage,insulator_string,damaged,cracks in porcelain disk; visible burn mark,,critical,high,0.1952088326215744,high,False,,/clips/f008.mp4,anomaly_query
f009,664.125,38.33036,-89.798605,40.03,357.69,10.13,vegetation_encroachment,vegetation,damaged,tall trees within right-of-way at conductor height,12,moderate,medium,0.14950087666511536,medium,False,,/clips/f009.mp4,anomaly_query
f010,683.125,38.33208,-89.798695,39.76,357.69,9.74,insulator_damage,insulator_string,intact,,,no_action,medium,0.16666607558727264,high,False,,/clips/f010.mp4,anomaly_query
f011,701.875,38.333762,-89.798783,40.13,357.69,9.12,insulator_damage,insulator_string,intact,,,no_action,medium,0.17605730891227722,high,False,,/clips/f011.mp4,anomaly_query
f012,741.0,38.337265,-89.798983,39.28,357.69,9.6,insulator_damage,insulator_string,intact,,,no_action,medium,0.16529813408851624,high,False,,/clips/f012.mp4,anomaly_query
f013,761.75,38.339159,-89.799065,40.74,357.69,9.69,insulator_damage,insulator_string,damaged,rust streaks on cap-and-pin hardware,,high,medium,0.16725797951221466,medium,False,,/clips/f013.mp4,anomaly_query
f014,791.625,38.341828,-89.799357,40.26,332.36,9.44,insulator_damage,insulator_string,damaged,cracked porcelain disk; visible burn mark,,critical,medium,0.15680502355098724,high,False,,/clips/f014.mp4,anomaly_query
